机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
云锋基金,12,0.375,0.0413625304136253,0.30835066791954213,0.3025210084033614,0.3176470588235294,0.4117647058823529,0.7647058823529411,0.11764705882352941,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
金石投资/中信证券,9,0.3125,0.012165450121654502,0.027383225762889842,0.3725601131541726,0.27999999999999997,0.2,1.0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
GIC新加坡政府投资公司,7,0.375,0.021897810218978103,0.12061017614543629,0.28194247996228194,0.28888888888888886,0.3333333333333333,0.4444444444444444,0.0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
捷成世纪,5,0.0625,0.012165450121654502,0.10091455154804577,0.10014144271570015,0.12,0.0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
高榕资本Banyan Fund,6,0.9375,0.1192214111922141,0.058648846555067795,0.08174811650261236,0.3142857142857143,0.3673469387755102,0.7959183673469388,0.10204081632653061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Kalaari Capital,13,0.4375,0.029197080291970802,0.009425963539309913,0.2181753889674682,0.0,0.0,0.0,0.0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
顺丰速运,3,0.0625,0.0072992700729927005,0.014194500916909696,0.09193776520509195,0.13333333333333333,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
森马服饰,13,0.125,0.004866180048661801,0.0026161642707586666,0.3734087694483734,0.2,0.5,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Valhalla Partners,2,0.125,0.004866180048661801,0.0015672633729888342,0.25671852899575676,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
光源资本,3,0.125,0.004866180048661801,0.0013344688244758024,0.05304101838755304,0.4,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
挖财,11,0.125,0.004866180048661801,3.375695833236989E-4,0.487977369165488,0.2,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
赛马资本,12,0.3125,0.0170316301703163,0.0025268114774394572,0.12608607799555466,0.14285714285714285,0.0,1.0,0.0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
Social Leverage,8,0.25,0.009732360097323601,3.083512748383903E-4,0.0731966053748232,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Advancit Capital,8,0.25,0.012165450121654502,0.0016572688678058568,0.22489391796322492,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
.406 Ventures,8,0.1875,0.009732360097323601,0.004979532995192372,0.2301980198019802,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Saama Capital,8,0.1875,0.009732360097323601,0.003673056565797715,0.2301980198019802,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Revolution Ventures,8,0.25,0.009732360097323601,0.005911955508236362,0.21110325318246112,0.0,0.0,0.0,0.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
泰山天使,3,0.3125,0.024330900243309004,0.0024765154849108,0.12093352192362093,0.4,0.3,1.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Wing Venture Capital,2,0.0625,0.004866180048661801,0.00257904099352593,0.157001414427157,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
洪泰基金,6,0.875,0.09245742092457421,0.005490536453494917,0.04500111665301868,0.20526315789473687,0.18421052631578946,0.9210526315789473,0.0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
弘毅投资,3,0.1875,0.014598540145985401,0.04992831548927409,0.3727015558698727,0.4333333333333333,0.5,0.3333333333333333,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Quest Venture Partners,13,0.3125,0.012165450121654502,0.0020380942304193583,0.11032531824611033,0.08,0.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
青山资本-华璟海纳资本,14,0.5,0.0267639902676399,0.0010421304396669377,0.015044361579015045,0.18181818181818182,0.0,1.0,0.0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
凯美特气,5,0.0625,0.004866180048661801,0.010352133888593433,0.5643564356435644,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
三井物产环球投资/三井创投MGI,3,0.25,0.014598540145985401,0.009939227213511467,0.16902404526166903,0.23333333333333334,0.5,0.8333333333333334,0.0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
JJ比赛/竞技创投,7,0.4375,0.031630170316301706,0.0053818156053325105,0.09237297356109238,0.21538461538461537,0.07692307692307693,0.6923076923076923,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0
Index Ventures,6,0.9375,0.15328467153284672,0.08755521598000542,0.181989627534182,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Kapor Capital,11,0.25,0.0170316301703163,5.822681012306618E-4,0.12244897959183675,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
麒麟资本Kylin Capital,4,0.125,0.004866180048661801,0.003627241434410365,0.07637906647807638,0.2,1.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
银瑞达Investor AB,3,0.125,0.009732360097323601,0.003154365522850945,0.1548797736916549,0.25,0.5,0.5,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
天鸽互动,12,0.0625,0.0072992700729927005,8.808690738174521E-4,0.2545968882602546,0.2,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GMO Venture Partners,9,0.125,0.012165450121654502,0.0057595937018496,0.3275813295615276,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
经纬中国,6,1.0,0.683698296836983,0.1809232772873159,0.08865589151696056,0.2797153024911032,0.2918149466192171,0.8327402135231317,0.09608540925266904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
TA Associates,5,0.125,0.004866180048661801,0.0029758165309914575,0.384016973125884,0.8,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
快创营,14,0.4375,0.021897810218978103,2.663265636027808E-4,0.02734559170202735,0.22222222222222224,0.4444444444444444,0.8888888888888888,0.0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
